id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
31,Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2013,-1.2,129.94,NTZ,7,0,9,1.527525232,10,1.732050808,0,0,1.333,0.666666667,14.333,0.881917104
32,Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2014,-1.2,129.94,NTZ,26.333,10.8371788,10,4.509249753,6.667,0.881917104,0,0,9,1,0.333,0.333333333
33,Kofiau dan Pulau Boo Marine Protected Area,2207,Maet,2016,-1.2,129.94,NTZ,23.667,2.603416559,23,3.055050463,0.333,0.333333333,0,0,9,2.309401077,3.667,0.333333333
34,Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2009,-1.21,129.9,Use,24,3.464101615,14.667,4.666666667,0,0,0,0,29.333,8.412952976,2.333,0.881917104
35,Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2010,-1.21,129.9,Use,21,2.645751311,14,4.041451884,24.667,4.666666667,0,0,7.667,1.763834207,9.333,2.40370085
36,Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2011,-1.21,129.9,Use,31.667,3.929942041,5,1.527525232,1,0.577350269,2.333,0.333333333,16,1,2,1
37,Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2013,-1.21,129.9,Use,17.333,2.603416559,9.667,2.666666667,4.333,0.333333333,0,0,15.333,5.238744549,1.333,1.333333333
38,Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2014,-1.21,129.9,Use,27.333,7.310570733,15,4.932882862,12.333,3.844187532,0,0,14.333,6.119186584,0.667,0.333333333
39,Kofiau dan Pulau Boo Marine Protected Area,2208,Yenpapir,2016,-1.21,129.9,Use,38,6.027713773,13,2,0.333,0.333333333,0,0,10.333,4.910306621,2,0.577350269
40,Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2009,-1.25,129.83,Use,10.333,1.333333333,16.333,2.905932629,0,0,0,0,15,2,4.667,1.452966315
41,Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2010,-1.25,129.83,Use,66.667,2.333333333,1,0.577350269,8.667,3.282952601,0,0,7,2.645751311,0,0
42,Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2011,-1.25,129.83,Use,14.333,1.201850425,22,2.516611478,1.667,0.666666667,0,0,4.333,1.855921454,9.333,4.255715112
43,Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2013,-1.25,129.83,Use,20,2.645751311,3.333,0.881917104,6.333,3.333333333,0,0,21,4.582575695,7,2.081665999
44,Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2014,-1.25,129.83,Use,6.333,0.881917104,18.333,1.452966315,31.333,10.26861453,0,0,1,0.577350269,4.667,0.881917104
45,Kofiau dan Pulau Boo Marine Protected Area,2209,Rataitapor,2016,-1.25,129.83,Use,20.333,6.936217349,31,5.131601439,1,0.577350269,0,0,12.333,5.783117191,7.667,6.691619967
46,Kofiau dan Pulau Boo Marine Protected Area,2211,Walo Bommoes,2010,-1.27,129.67,NTZ,28.667,4.176654695,29.667,3.179797338,15.667,1.201850425,0,0,0.667,0.666666667,11.333,1.452966315
47,Kofiau dan Pulau Boo Marine Protected Area,2212,Walo south,2010,-1.28,129.66,NTZ,54.667,2.728450924,5,1.527525232,5,2.309401077,0,0,11.333,2.962731472,1,0.577350269
48,Kofiau dan Pulau Boo Marine Protected Area,2212,Walo south,2011,-1.28,129.66,NTZ,26,4.725815626,9,2,0.667,0.333333333,0,0,17.667,3.666666667,0.667,0.666666667
