id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
133,Kofiau dan Pulau Boo Marine Protected Area,2232,Tanjung Lampu,2014,-1.18,129.3,NTZ,21.667,1.201850425,9.333,3.711842909,17.333,1.855921454,0,0,10,4.582575695,25,2.309401077
134,Kofiau dan Pulau Boo Marine Protected Area,2232,Tanjung Lampu,2016,-1.18,129.3,NTZ,29,3.055050463,16.667,4.255715112,0,0,0,0,5,1.154700538,22,1.527525232
135,Kofiau dan Pulau Boo Marine Protected Area,2234,Dona karmalita,2010,-1.3,129.45,NTZ,24.333,4.910306621,8.667,1.855921454,5.333,0.881917104,0,0,8.333,2.333333333,2.333,1.452966315
136,Kofiau dan Pulau Boo Marine Protected Area,2234,Dona karmalita,2011,-1.3,129.45,NTZ,35,6.658328118,3,0,3.667,0.666666667,0,0,24.333,3.527668415,1.667,0.881917104
137,Kofiau dan Pulau Boo Marine Protected Area,2236,Wall Gebe Besar,2009,-1.2,129.65,NTZ,42,5.773502692,22,5.196152423,0,0,0,0,1,1,5.333,1.763834207
138,Kofiau dan Pulau Boo Marine Protected Area,2236,Wall Gebe Besar,2011,-1.2,129.65,NTZ,43.333,5.783117191,18,3,6,1.527525232,0,0,2.333,0.666666667,5,0.577350269
139,Kofiau dan Pulau Boo Marine Protected Area,2236,Wall Gebe Besar,2013,-1.2,129.65,NTZ,34,2.645751311,4.333,0.881917104,6.333,0.666666667,0,0,10.333,0.881917104,8.667,1.201850425
140,Kofiau dan Pulau Boo Marine Protected Area,2236,Wall Gebe Besar,2014,-1.2,129.65,NTZ,15.667,2.333333333,10.667,0.666666667,9,4.725815626,0.333,0.333333333,10.667,4.176654695,15.667,4.484541349
141,Kofiau dan Pulau Boo Marine Protected Area,2236,Wall Gebe Besar,2016,-1.2,129.65,NTZ,20.333,2.962731472,14,5.033222957,0,0,0,0,13,7.023769169,0,0
142,Kofiau dan Pulau Boo Marine Protected Area,2237,Kor Mang Kwan,2010,-1.23,129.88,Use,5.667,1.333333333,7,1.154700538,26.667,2.728450924,0,0,13.667,1.666666667,11.667,1.333333333
143,Kofiau dan Pulau Boo Marine Protected Area,2237,Kor Mang Kwan,2011,-1.23,129.88,Use,26.667,1.763834207,8,1.527525232,3.333,1.452966315,0.667,0.666666667,14,2.081665999,6.667,0.666666667
144,Kofiau dan Pulau Boo Marine Protected Area,2237,Kor Mang Kwan,2013,-1.23,129.88,Use,28,2.886751346,2,0.577350269,9.667,3.179797338,0,0,26,0.577350269,6.333,1.452966315
145,Kofiau dan Pulau Boo Marine Protected Area,2237,Kor Mang Kwan,2014,-1.23,129.88,Use,16.333,4.096068576,12.333,2.185812841,21.667,3.179797338,0,0,13,4.618802154,2.667,2.185812841
146,Kofiau dan Pulau Boo Marine Protected Area,2237,Kor Mang Kwan,2016,-1.23,129.88,Use,32.333,1.763834207,16.667,2.333333333,0,0,0,0,10.667,1.452966315,8.667,1.201850425
147,Kofiau dan Pulau Boo Marine Protected Area,2238,Yendot,2010,-1.24,129.86,Use,19.667,9.683892698,1.333,0.333333333,4,1.527525232,0,0,18.333,5.696002497,1.667,0.333333333
148,Kofiau dan Pulau Boo Marine Protected Area,2238,Yendot,2011,-1.24,129.86,Use,12.667,4.910306621,6.333,0.333333333,2.667,1.763834207,0,0,20,3.785938897,7,1.527525232
149,Kofiau dan Pulau Boo Marine Protected Area,2238,Yendot,2013,-1.24,129.86,Use,9.667,0.881917104,1.667,0.881917104,4.333,3.333333333,0,0,27.333,4.371625683,8.333,2.333333333
150,Kofiau dan Pulau Boo Marine Protected Area,2238,Yendot,2014,-1.24,129.86,Use,4.667,0.881917104,13,2,18.667,2.666666667,0,0,10.667,3.48010217,8,3.214550254
151,Kofiau dan Pulau Boo Marine Protected Area,2238,Yendot,2016,-1.24,129.86,Use,6.333,1.201850425,7.667,0.333333333,1,0.577350269,0,0,11,2.886751346,17.333,0.666666667
152,Kofiau dan Pulau Boo Marine Protected Area,2239,Tampagula,2010,-1.2,129.71,Use,16.333,2.848001248,0,0,2.667,1.452966315,0,0,69.667,1.763834207,4.667,3.666666667
153,Kofiau dan Pulau Boo Marine Protected Area,2240,Huriba,2010,-1.21,129.68,Use,12.333,3.333333333,10,3.605551275,9.333,4.096068576,0,0,13.667,3.179797338,0,0
154,Kofiau dan Pulau Boo Marine Protected Area,2241,Baju Lagoon,2010,-1.18,129.4,Use,36,4.163331999,18.333,3.282952601,10.333,1.333333333,0,0,6.333,1.201850425,0.667,0.333333333
155,Kofiau dan Pulau Boo Marine Protected Area,2242,Andarek,2013,,,NTZ,20.333,2.603416559,16.333,1.763834207,16.667,3.48010217,0,0,8.333,2.02758751,4.333,1.855921454
156,Kofiau dan Pulau Boo Marine Protected Area,2242,Andarek,2014,,,NTZ,15,2.309401077,3,1,9,1.527525232,0,0,48.667,5.607534614,3.667,2.666666667
157,Kofiau dan Pulau Boo Marine Protected Area,2242,Andarek,2016,,,NTZ,12.667,1.452966315,9.333,2.40370085,0,0,0,0,42.333,5.696002497,4.333,1.333333333
158,Kofiau dan Pulau Boo Marine Protected Area,2243,Maet 2,2013,,,NTZ,40.333,4.910306621,8,2,4,0.577350269,0,0,10,4.358898944,7,1
159,Kofiau dan Pulau Boo Marine Protected Area,2243,Maet 2,2014,,,NTZ,6.333,1.333333333,3.333,2.02758751,2,0.577350269,0,0,68.333,8.333333333,0,0
160,Kofiau dan Pulau Boo Marine Protected Area,2243,Maet 2,2016,,,NTZ,10,3.055050463,6,2.081665999,0,0,0,0,58.333,7.623064417,1,0.577350269
